gene_id	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ENSG00000187372	0	0	1	4	0	0	32	0	8.38
ENSG00000187391	7.79	1.03	59.15	122.15	0.34	1.95	24.55	95.6	4.01
ENSG00000187398	0.84	0	3.62	0	0	0	0	0	0
ENSG00000187416	0	0	0	0	0	0	0	0	0
ENSG00000187446	2862.31	6383.61	979.88	496.05	1549.96	7196.88	632.08	2.31	3862.11
ENSG00000187472	0	0	0	0	0	0	0	0	0
ENSG00000187474	2631	0	748	0	0	0	3	0	0
ENSG00000187475	0	0	0	0	0	0	0	0	0
ENSG00000187479	6	1258	36	274	0	0	0	27	0
ENSG00000187481	0	0	0	0	0	0	0	0	0
ENSG00000187483	0	0	0	0	0	0	0	0	0
ENSG00000187486	7.93	0	41.02	15.24	3.28	0	23.99	18.34	1.8
ENSG00000187492	10.83	0	30.66	36.37	21.76	0	7.88	1.24	3.27
ENSG00000187498	85	2503	5	5217	0	0	0	1964	0
ENSG00000187504	0	0	0	0	0	0	1	0	0
ENSG00000187510	0	0	0	0	0	0	0	0	0
ENSG00000187513	0	0	0	22	0	0	0	611	0
ENSG00000187514	9695.56	1962.93	2008.99	3246.35	4367.32	5088.53	2276.96	1971.97	11704.8
ENSG00000187516	0	0	0	0	0	0	0	0	0
ENSG00000187522	37	6	51	54	32	0	0	68	0
ENSG00000187527	0	0	0	0	0	0	0	0	0
ENSG00000187531	36	0	14	50.04	0	0	37	0	0
ENSG00000187533	0	0	0.25	0	0	0	0	0	0
ENSG00000187534	0	0	0	0	0	0	0	0	0
ENSG00000187535	21	0	12	77	0	0	375	0	0
ENSG00000187536	0	0	0	17	0	0	0	0	0
ENSG00000187537	0	0	0	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0	0	0	0
ENSG00000187546	0	0	0	0	0	0	0	0	0
ENSG00000187550	0	0	0	0	0	0	0	0	0
ENSG00000187553	0	0	0	0	0	0	0	0	0
ENSG00000187554	75	0	142	37	1	0	0	0	0
ENSG00000187555	931	94	194	450	1871	2071	543	324	3
ENSG00000187556	0	0	0	0	0	0	2	0	0
ENSG00000187559	0	0	0	0	0	0	0	0	0
ENSG00000187566	0	0	0	1	0	0	0	0	0
ENSG00000187569	0	0	0	0	0	0	0	0	0
ENSG00000187581	0	0	0	0	0	0	0	0	0
ENSG00000187583	0	0	0	3	63	0	0	0	0
ENSG00000187589	0	0	0	0	0	0	0	0	0
ENSG00000187595	11.6	0	6.86	17.64	4.6	0	0	0	0
ENSG00000187600	0	0	0	0	0	0	0	0	0
ENSG00000187601	6	0	0	41	0	0	0	0	2
ENSG00000187605	1124	0	373	294	213	1	8	1	1280
ENSG00000187607	4.56	1	0	71.12	2525.82	0	2	2	0
ENSG00000187608	132	0	70	242	955	0	11	0	1
ENSG00000187609	1	0	11	0	0	0	34	0	0
ENSG00000187612	0	0	0	0	0	0	0	0	0
ENSG00000187616	0	0	0	0	0	0	0	0	0
ENSG00000187621	4.92	0	71.52	41.08	3.87	0	0	0	0.99
ENSG00000187624	0	0	115	15	0	0	0	0	0
ENSG00000187626	54	0	9	150	0	0	0	0	0
ENSG00000187627	137.84	0	200.16	29.47	1356.14	21.08	0	0	32.59
ENSG00000187630	55.53	0	32.75	142.55	0	0	1	0	0
ENSG00000187634	0	0	0	143.31	0	0	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0	0
ENSG00000187650	3	6	132	1	131	0	0	0	0
ENSG00000187653	0	0	0	0	0	0	0	0	0
ENSG00000187657	0	0	0	0	0	0	0	0	0
ENSG00000187658	0	0	0	0	0	0	0	0	0
ENSG00000187664	0	0	0	0	0	0	0	0	0
ENSG00000187672	0	0	0	0	0	0	0	0	0
ENSG00000187676	8	0	33	0	0	0	0	0	0
ENSG00000187678	21	1062	1	919	0	0	663	752	2055
ENSG00000187682	0	0	0	0	0	0	0	0	0
ENSG00000187686	0	0	0	0	0	0	0	0	0
ENSG00000187688	281	2	166	414	0	0	17	1	22
ENSG00000187689	0	0	0	0	0	0	0	0	0
ENSG00000187690	0	0	0	0	0	0	0	0	0
ENSG00000187695	0	0	0	0	0	0	0	0	0
ENSG00000187699	0	1	4	8	0	35	86	0	0
ENSG00000187701	0	0	0	0	0	0	0	0	0
ENSG00000187713	44	3	2	33	0	0	159	0	0
ENSG00000187714	0	0	0	0	0	0	0	0	0
ENSG00000187715	3.91	0	46.52	48.15	39.89	2.11	12.35	1.47	18.59
ENSG00000187720	0	0	8	713	0	2	2709	2289	0
ENSG00000187721	0	0	0	0	0	0	0	0	0
ENSG00000187726	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	26	0
ENSG00000187733	0	0	0	0	0	0	0	0	0
ENSG00000187735	360	4.32	82.22	211.5	1	1	36	1	6
ENSG00000187736	59	0	41.41	64	0	0	163	0	429
ENSG00000187741	168.19	0	365.8	162.48	0	0	13.89	1	0
ENSG00000187742	439	0	80	257.01	0	13	287	19	200
ENSG00000187747	0	0	0	0	0	0	0	0	0
ENSG00000187753	0	0	0	0	0	0	0	0	0
ENSG00000187754	0	0	0	0	0	0	0	0	0
ENSG00000187758	0	0	0	0	0	0	0	0	0
ENSG00000187762	0	0	0	0	0	0	0	0	0
ENSG00000187763	0	0	0	0	0	0	0	0	0
ENSG00000187764	1094	0	1878.95	132.82	7	7	100	154	1136.36
ENSG00000187766	0	0	0	0	0	0	0	0	0
ENSG00000187772	0	0	0	0	0	0	0	0	0
ENSG00000187773	1	0	0	0	0	0	0	0	0
ENSG00000187775	11	0	326	9	0	0	0	2	0
ENSG00000187778	42	0	10	57	0	0	0	226	0
ENSG00000187783	0	0	0	0	0	0	0	0	0
ENSG00000187790	31	95	3	27	0	3	0	0	0
ENSG00000187791	0	0	0	0	0	0	0	0	0
ENSG00000187792	23.06	1727.12	74	436.33	10.63	0	6.36	74.49	43.73
ENSG00000187796	64	0	337	4	0	0	0	0	0
ENSG00000187800	22	13	2	9	0	1	2	329	0
ENSG00000187801	0	0	3	64	0	0	0	0	0
ENSG00000187806	0	0	0	0	0	0	0	0	0
ENSG00000187808	0	0	0	0	0	0	0	0	0
ENSG00000187812	0	0	0	0	0	0	0	0	0
ENSG00000187815	16	63	8	112	0	0	0	0	0
ENSG00000187821	0	0	0	0	0	0	0	0	0
ENSG00000187823	0	0	0	0	0	0	0	0	0
ENSG00000187824	12	0	0	1	0	0	0	0	0
ENSG00000187833	0	0	0	0	0	0	0	0	0
ENSG00000187837	71	0	24	51	0	0	0	0	673
ENSG00000187838	161	0	100	59	0	0	0	1	0
ENSG00000187840	35	0	258	0	0	0	0	0	0
ENSG00000187847	0	0	0	0	0	0	0	0	0
ENSG00000187848	0	0	0	0	0	0	0	0	0
ENSG00000187855	0	0	0	0	0	0	0	0	0
ENSG00000187857	0	0	0	0	0	0	0	0	0
ENSG00000187860	303.68	1.75	14.35	53.73	0	0	7.19	20.11	33.92
ENSG00000187862	0	0	0	0	0	0	0	0	0
ENSG00000187866	61	0	27	23	0	0	65	0	419
ENSG00000187867	0	0	0	0	0	0	0	0	0
ENSG00000187870	0	0	0	0	0	0	0	0	0
ENSG00000187871	0	0	0	0	15.91	0	0	0	0
ENSG00000187889	0	0	0	0	0	0	0	0	0
ENSG00000187893	0	0	0	0	0	0	0	0	0
ENSG00000187900	0	0	0	0	0	0	0	0	0
ENSG00000187902	0	0	0	0	0	0	0	0	0
ENSG00000187904	0	3.03	5.06	5.92	0	0	0	1.19	0
ENSG00000187905	0	0	3.28	2.03	0	0	0	4.83	0
ENSG00000187908	0	0	4	108	0	76	10278	0	263
ENSG00000187912	0	0	1	0	0	0	0	0	0
ENSG00000187918	0	0	0	0	0	0	0	0	0
ENSG00000187922	0	0	0	43	0	0	0	0	0
ENSG00000187942	0.16	247.8	0	0	0	0	351.05	2.4	5.16
ENSG00000187944	0	0	0	0	27	0	3	0	0
ENSG00000187950	4	0	0	0	0	0	0	0	0
ENSG00000187951	85.85	0	5.38	73.76	0	0	0	310.85	498
ENSG00000187952	0	0	1	0	0	0	0	0	0
ENSG00000187953	53.49	2635.66	299.68	217.89	0	0	9	0	0
ENSG00000187954	2	0	0	77	0	0	0	26	0
ENSG00000187955	57	9399	0	1693	0	0	0	0	0
ENSG00000187957	0	0	0	0	0	2903	0	1	0
ENSG00000187959	0	0	0	0	0	0	15	0	0
ENSG00000187961	17	0	12	46	0	0	0	0	9
ENSG00000187969	0	0	0	0	0	0	0	0	0
ENSG00000187979	0	0	0	0	0	0	0	0	0
ENSG00000187980	0	0	2	1	0	0	0	0	0
ENSG00000187984	0	4	0	16	0	0	0	0	0
ENSG00000187987	0	0	0	12	0	0	0	0	0
ENSG00000187988	0	0	0	0	0	0	0	0	0
ENSG00000187994	77	1	2	0	0	0	8	0	0
ENSG00000187997	0	0	5.44	0.5	0	0	1.06	0	15.86
ENSG00000187999	0	0	0	0	0	0	0	0	2
ENSG00000188000	2	0	18.35	14.15	0	0	3.1	0	0
ENSG00000188001	22	0	0	0	0	0	0	0	0
ENSG00000188002	8	0	8.99	42.76	0	0	0	0	0
ENSG00000188004	0	0	1109.35	45.51	0	0	0	2	0
ENSG00000188010	0	1	0	4	0	0	0	0	0
ENSG00000188011	0	0	0	0	0	0	0	0	0
ENSG00000188013	0	0	0	0	0	0	0	0	0
ENSG00000188015	0	0	0	8	0	0	0	0	0
ENSG00000188021	299	1	131	47	1234	0	3	196	50
ENSG00000188026	2	150	8.05	22.83	7.55	2	45	0	0
ENSG00000188029	0	0	0	0	0	0	0	0	0
ENSG00000188032	0	0	0	0	0	0	0	0	0
ENSG00000188033	25.33	39.64	37.31	78.2	10.66	65.77	266.78	0	5.2
ENSG00000188037	0	0	0	0	0	0	0	0	0
ENSG00000188038	0	0	0	0	0	0	0	0	0.08
ENSG00000188039	3.03	0	2	4	0	0	0	0.4	0
ENSG00000188042	687	36	215	258	48	1	25	0	40
ENSG00000188050	0	0	0	0	0	0	0	0	0
ENSG00000188051	0	0	0	3	0	0	0	0	0
ENSG00000188056	17	0	8	0	0	0	0	0	0
ENSG00000188060	1	0	6.12	19.42	0	0	0	1	0
ENSG00000188064	3.61	4.01	51.47	11.06	19.95	0	0	8.02	0
ENSG00000188070	5	1012	11	429	0	5	0	0	0
ENSG00000188076	0	0	0	0	0	0	0	0	0
ENSG00000188078	0	0	0	0	0	0	0	0	0
ENSG00000188086	0	0	0	0	0	0	0	0	0
ENSG00000188089	0	0	0	6.11	0	0	0	0	0
ENSG00000188092	566.77	0.5	6	78.21	0	0	195	0	0
ENSG00000188095	0	17	0	0	0	0	0	0	0
ENSG00000188100	0	0	0	0	0	0	0	0	0
ENSG00000188101	0	0	0	0	0	0	0	0	0
ENSG00000188107	4	0	11.69	5.87	0	0	0	1.65	26.72
ENSG00000188112	0	1	5.67	19.99	1	1.99	15.01	0	4.95
ENSG00000188120	0	0	0	0	0	0	0	0	0
ENSG00000188124	0	0	0	0	0	0	0	0	0
ENSG00000188130	2.09	0	7.08	28.88	31.38	0	2.99	5.01	0
ENSG00000188133	0	0	0	4	0	0	0	0	0
ENSG00000188152	0	0	0	0	0	0	0	0	0
ENSG00000188153	0	0	25	185	0	0	0	809	0
ENSG00000188155	0	0	0	0	0	0	0	0	0
ENSG00000188157	120	0	7.3	670.28	0	0	518	2.04	0
ENSG00000188158	98	1530	33	243	0	0	24	0	0
ENSG00000188162	0	0	0	5.73	0	0	0	0	0
ENSG00000188163	2.08	0	5.01	0	0	7.22	7.41	0	5.34
ENSG00000188167	143	0	162	473	0	0	31	0	0
ENSG00000188171	0	5	1	15	0	0	96	0	0
ENSG00000188175	0	0	78	15	0	0	68	0	0
ENSG00000188176	0	0	0	0	0	0	0	0	0
ENSG00000188177	103	2689	20	37	159	2	32.03	12	1
ENSG00000188185	91.84	0	40.95	90.56	0	0	22.12	1.04	12
ENSG00000188186	380	3	117	110.63	0	0	402	0	0
ENSG00000188191	0	0	2	147	0	0	0	0	0
ENSG00000188199	0	0	0	0	0	0	0	0	0
ENSG00000188211	122	0	355	35	0	0	592	0	49
ENSG00000188215	686	1739	291	403	384	0	0	0	255
ENSG00000188219	6	2	10.11	2	2	0	16.84	6	4
ENSG00000188223	7	0	0	0	0	0	0	0	0
ENSG00000188227	9.9	8.16	67.78	94.23	207.59	24.55	3.84	37.45	16.08
ENSG00000188229	1084.11	563.16	707.7	546.99	0	3361.78	1940.31	6	721.66
ENSG00000188234	23.69	240.17	2.01	13.71	389.61	0	97.13	0	0
ENSG00000188242	2.99	0	0	1.13	0	1126	13	0	0
ENSG00000188243	149	0	49	51	0	0	10	0	1
ENSG00000188257	43	39258	216	1266	0	0	1155	1	0
ENSG00000188263	0	0	0	0	0	0	0	0	0
ENSG00000188266	8.36	2.87	1	42.76	20.94	2.55	25	2	4.43
ENSG00000188269	0	0	0	0	0	0	0	0	0
ENSG00000188277	0	0	6	4	0	0	0	0	0
ENSG00000188280	0	0	0	0	0	0	0	0	0
ENSG00000188282	20	0	0	0	0	0	0	0	0
ENSG00000188283	9.27	10.89	44.86	33.66	272.31	15.97	21.04	0	5.11
ENSG00000188290	0	0	75	0	0	0	4	0	0
ENSG00000188293	0	0	0	0	0	0	0	0	0
ENSG00000188295	7.35	0	6.1	24.76	3.2	0.99	3	6.88	0
ENSG00000188305	4.36	0	37.83	7.67	1.97	0	0	0	0
ENSG00000188306	0	0	0	0	0	0	0	0	0
ENSG00000188312	10.17	3	4.01	6.54	0	0	0	0	0
ENSG00000188313	276	364	134	38	0	380	82	1	2778
ENSG00000188314	0	0	0	0	0	0	0	0	0
ENSG00000188315	90	2	12	11.26	0.87	0	18	0	1
ENSG00000188316	0	0	0	0	0	0	0	0	0
ENSG00000188321	36	0	0	72.12	0	0	85	0	61
ENSG00000188322	0	0	0	16	0	0	0	0	0
ENSG00000188324	0	0	0	0	0	0	0	0	0
ENSG00000188334	0	0	0	0	0	0	0	0	0
ENSG00000188338	0	0	0	0	0	0	0	0	0
ENSG00000188340	0	0	0	0	0	0	0	0	0
ENSG00000188342	90	209	26	60	67	0	31	0	18
ENSG00000188343	1	326	290.66	60	11	0	214.19	119	0
ENSG00000188352	84	2089	1	67	0	0	50	0	0
ENSG00000188365	0	0	0	0	0	0	0	0	0
ENSG00000188368	1.35	0	8.17	2.33	9.02	0	1	0	0
ENSG00000188372	2.5	270.66	3.01	10.54	0	0	0	0	0
ENSG00000188373	0	0	0	0	0	0	119	0	1
ENSG00000188375	4	1	3	1	34	0	1	0	3
ENSG00000188379	0	0	0	0	0	0	0	0	0
ENSG00000188383	0	0	0	0	0	0	0	0	0
ENSG00000188385	5	0	0	69	0	0	0	0	0
ENSG00000188386	0	0	0	0	0	0	0	0	0
ENSG00000188388	0	0	0	15.51	0	0	0	0	0
ENSG00000188389	0	0	0	0	0	0	0	0	0
ENSG00000188393	0	0	0	0	0	0	0	0	0
ENSG00000188394	0	0	0	0	0	0	0	0	0
ENSG00000188396	0	0	0	0	0	0	93	0	0
ENSG00000188399	0	0	0	0	0	0	0	0	0
ENSG00000188403	0	0	0	0	0	0	0	0	0
ENSG00000188404	1021	3616	201	0	23	0	51	0	0
ENSG00000188408	0	0	0	0	0	0	0	0	0
ENSG00000188419	68	267	51.02	40.83	87	0	56	0	0
ENSG00000188425	0	0	0	0	0	0	0	0	0
ENSG00000188428	48	1	61.09	20.12	0	3	0	519.01	0
ENSG00000188438	0	0	0	0	0	0	0	0	0
ENSG00000188439	0	0	0	0	0	0	0	0	0
ENSG00000188451	0	0	0	0	0	0	0	0	0
ENSG00000188452	151	0	16	12	205	0	3	0	72
ENSG00000188459	0	0	0	0	0	0	0	0	0
ENSG00000188460	0	0	0	2	0	0	1	4	0
ENSG00000188467	0	0	0	0	0	0	0	0	0
ENSG00000188477	0	0	0	0	0	0	0	0	0
ENSG00000188483	0	0	72	451	0	0	0	0	0
ENSG00000188486	47	0	358	220	0	1	142	0	2
ENSG00000188487	0	0	0	83	0	0	0	0	0
ENSG00000188488	0	0	0	0	0	0	0	0	0
ENSG00000188493	196.11	0	102	27	0	0	763	2735	2259
ENSG00000188501	0	0	1	0	0	0	0	0	1
ENSG00000188505	0	0	0	0	0	0	0	0	0
ENSG00000188508	0	0	0	0	0	0	0	0	0
ENSG00000188511	0	0	0	0	0	0	0	0	0
ENSG00000188512	0	0	0	0	0	0	0	0	0
ENSG00000188517	0	0	0	0	0	0	0	0	0
ENSG00000188522	9.44	0	7.3	5	2	1	41.23	0	532
ENSG00000188523	0	0	0	0	0	0	0	0	0
ENSG00000188525	0	0	0	0	0	0	0	0	0
ENSG00000188529	366.19	0	167.6	316.23	5.04	1	37.02	347.97	90.88
ENSG00000188536	68.95	0	10	11	0	0	0	422	0
ENSG00000188542	9.12	0	7.69	14	0	0	0	0	0
ENSG00000188549	23	0	51	39	2	0	0	0	0
ENSG00000188554	756.78	3800	269.2	493.88	747.32	364.28	622.83	105	270.09
ENSG00000188558	0	0	0	0	0	0	0	0	0
ENSG00000188559	610	1	356	180	1862	0	2002	2	128
ENSG00000188566	5	0	0.41	0	0	0	0	0	0
ENSG00000188573	0	0	0	0	0	0	0	0	0
ENSG00000188580	0	0	0	0	0	0	0	0	0
ENSG00000188581	0	0	0	0	0	0	0	0	0
ENSG00000188582	0	0	0	0	0	0	0	0	0
ENSG00000188585	0	0	0	0	0	0	0	0	0
ENSG00000188596	30.42	3.52	53.71	53.6	57.73	50.24	5.69	6.08	24.62
ENSG00000188599	71.93	402.25	51.17	208.37	5.34	0	29.06	0	147.52
ENSG00000188603	391.17	0.25	437.52	107.92	63.04	3.84	41.33	85.91	16.59
ENSG00000188610	0	0	0	1.75	0	0	0	0	0
ENSG00000188611	0	0	0	9.81	0	0	0	0	0
ENSG00000188612	436	101	214.96	488.55	0	1	492.84	7.42	2762
ENSG00000188613	9	499	21	5	0	4	1	0	0
ENSG00000188620	0	0	0	0	0	0	0	0	0
ENSG00000188624	0	0	0	0	0	0	0	0	0
ENSG00000188626	1	0	80	1.42	0	0	0	0	0
ENSG00000188629	0	0	0	0	0	0	0	0	0
ENSG00000188636	25	0	0	46	0	0	37	0	54
ENSG00000188641	752	419	134	151	0	0	387	0	0
ENSG00000188643	0	34	13	483	0	0	0	0	0
ENSG00000188646	0	0	0	0	0	0	0	0	0
ENSG00000188647	146	2	151	72	1	1	92	9	1
ENSG00000188649	2	0	0	0	0	0	0	0	0
ENSG00000188655	0	0	0	0	0	0	0	0	0
ENSG00000188656	0	0	0	0	0	0	0	0	0
ENSG00000188659	0	0	0	0	0	0	0	0	0
ENSG00000188660	0	0	0	0	0	0	0	0	0
ENSG00000188662	0	0	0	0	0	0	0	0	0
ENSG00000188668	0	0	0	0	0	0	0	0	0
ENSG00000188672	0	0	0	0	0	0	0	0	0
ENSG00000188674	0	0	0	0	0	0	0	0	0
ENSG00000188676	0	0	0	19	0	0	0	0	0
ENSG00000188677	126.07	0	49.62	42.86	0	62.61	14.46	2.83	4.57
ENSG00000188681	0	0	0	1	0	0	20.32	0	0
ENSG00000188687	0	0	49.38	356	0	0	0	0	159.71
ENSG00000188690	186	2	9	64	0	0	0	0	169
ENSG00000188691	0	0	0	0	0	0	0	0	0
ENSG00000188693	0	0	0	0	0	0	0	0	0
ENSG00000188694	0	0	0	0	0	0	0	0	0
ENSG00000188706	365	1	126	255	5	0	321	11	40
ENSG00000188707	0	0	0	0	0	0	0	0	0
ENSG00000188710	0	0	0	0	0	0	0	0	0
ENSG00000188712	0	0	0	0	0	0	0	0	0
ENSG00000188716	0	0	0	0	0	0	0	0	0
ENSG00000188725	106.64	1	10	687	0	0	6	0	0
ENSG00000188729	0	0	0	0	0	0	0	0	0
ENSG00000188730	0	0	0	2	0	0	0	0	0
ENSG00000188732	20.78	10.11	71.11	153.09	371.48	5	44.79	14	0
ENSG00000188735	4.8	0	187.41	311.89	12.26	1455.33	12.54	6.04	0.89
ENSG00000188738	74.61	38.91	164.24	244.3	1114.14	129.08	77.58	14.02	6.73
ENSG00000188739	431.06	395.4	166.4	159.47	628.05	9.96	344.54	2	1191.95
ENSG00000188747	0	0	0	0	0	0	0	0	0
ENSG00000188755	0	0	0	0	0	0	0	0	0
ENSG00000188760	0	0	0	0	0	0	0	0	0
ENSG00000188761	0	0	10.96	17.1	0	0	9	0	319
ENSG00000188763	0	0	0	0	0	0	0	0	0
ENSG00000188765	0	0	0	0	0	0	0	0	0
ENSG00000188766	0.94	0	0	16.59	0	0	0	0	29.02
ENSG00000188770	0	0	0	0	0	0	0	0	0
ENSG00000188771	0	0	0	0	0	0	0	0	0
ENSG00000188778	15	0	0	0	0	0	0	0	0
ENSG00000188779	0	0	0	8	0	0	0	0	0
ENSG00000188782	0	0	0	0	0	0	0	0	0
ENSG00000188783	17.99	4286	0	543.11	0	0	3	0	1.29
ENSG00000188784	0	0	0	0	0	0	0	0	0
ENSG00000188785	41.48	0	2.88	151.36	6.01	0	0	0	0
ENSG00000188786	959.95	1	149.77	490.63	0	0	659.96	0	0
ENSG00000188800	0	0	0	0	0	0	0	0	0
ENSG00000188801	0	0	0	0.32	0	0	0	0	0
ENSG00000188803	0	24	0	19	0	0	0	0	0
ENSG00000188807	9	2	31	0	0	0	0	0	0
ENSG00000188811	158	3	294.09	31.49	0	0	12	0	0
ENSG00000188816	0	0	0	0	0	0	0	0	0
ENSG00000188817	0	0	0	0	0	0	0	0	0
ENSG00000188818	0	0	12	0	0	0	2	0	0
ENSG00000188820	51	0	24	0	0	0	0	0	0
ENSG00000188822	25.58	2	138.92	34.99	59.35	4.55	5.41	0.95	1.74
ENSG00000188825	20	0	132.05	230.17	0	0	13.46	73	1
ENSG00000188827	189.98	4911.68	360	347.24	8.98	1	0	7.43	0
ENSG00000188828	0	0	0	0	0	0	0	0	0
ENSG00000188831	0	0	0	0	0	0	0	0	0
ENSG00000188833	0	0	0	1	0	0	0	0	0
ENSG00000188846	2126	2578	481.88	1003.15	4214	1	1154	0	531
ENSG00000188848	0	0	0	0	0	0	0	0	0
ENSG00000188850	0	0	0	0	0	0	0	0	0
ENSG00000188856	0	0	0	0	0	0	0	0	0
ENSG00000188859	0	0	0	187	0	0	0	0	227
ENSG00000188868	0	0	11	0	0	0	0	0	0
ENSG00000188869	0	0	0	0	0	0	0	0	1
ENSG00000188873	0	0	0	0	0	0	0	0	0
ENSG00000188877	0	0	0	0	0	0	0	0	0
ENSG00000188878	7	0	0	18	0	0	0	0	0
ENSG00000188883	0	0	0	0	0	0	0	0	0
ENSG00000188886	41	0	415	0	0	0	0	1	0
ENSG00000188895	768.05	137	240	170.05	1448	0	407	0	1445.3
ENSG00000188897	4.44	0	0	32.57	0	0	13.06	282.05	0.99
ENSG00000188906	565	203	372	0	0	0	0	0	0
ENSG00000188909	0	0	0	0	0	0	0	0	0
ENSG00000188910	0	0	0	4	0	0	0	0	0
ENSG00000188916	3	0	0	4	0	0	0	0	0
ENSG00000188917	9.02	0	7.03	12	0	0	12.79	28	173.76
ENSG00000188921	724	78	78.43	244.09	532.62	140	0	1.25	0
ENSG00000188931	0	0	0	0	0	0	0	0	0
ENSG00000188933	51.59	4.03	77.6	174.54	0	0	40	0	11
ENSG00000188937	0	0	26	0	0	0	0	0	0
ENSG00000188938	232	118	13	147	218	0	0	0	900
ENSG00000188958	1.98	0	3.79	11.63	0	0	0	0	3.14
ENSG00000188959	0	0	7	1	0	0	86	0	1
ENSG00000188976	75	364.67	120.12	579.82	7.58	0	23	0	34.6
ENSG00000188981	0	0	0	0	0	0	0	0	0
ENSG00000188984	0	0	65	0	0	0	0	0	0
ENSG00000188985	0	0	0	0	0	0	0	0	0
ENSG00000188986	75	0	0	81	0	0	0	0	0
ENSG00000188991	0	0	0	0	0	0	0	0	0
ENSG00000188992	0	0	0	0	0	0	0	0	0
ENSG00000188993	10	0	0	0	0	0	7	0	0
ENSG00000188994	311	82	112	288	0	3	5	584	2
ENSG00000188996	64	0	0	0	0	0	0	0	0
ENSG00000188997	34	0	1.38	227	0	0	0	0	139.94
ENSG00000189001	0	0	0	0	0	0	0	0	0
ENSG00000189002	0	0	0	0	0	0	0	0	0
ENSG00000189007	4	0	36	39	0	0	0	0	1903
ENSG00000189013	0	0	0	0	32	0	0	0	0
ENSG00000189014	0	0	0	0	0	0	0	0	2.45
ENSG00000189023	0	0	0	0	0	0	0	0	0
ENSG00000189030	0	0	0	0	0	0	0	0	0
ENSG00000189037	0	0	0	0	0	0	0	0	0
ENSG00000189042	120	0	10.6	5.33	0	0	0	0	0
ENSG00000189043	200	18	303	156	3240.11	1	390	0	66
ENSG00000189045	0	0	0	0	0	0	0	0	0
ENSG00000189046	6	0	0	57	0	0	0	0	0
ENSG00000189050	151	0	72	82	0	0	1	0	0
ENSG00000189051	4.92	4.51	0	2.55	0	0	2	0	15.74
ENSG00000189052	0	0	0	0	0	0	0	0	0
ENSG00000189056	0	0	0	80	0	0	0	0	0
ENSG00000189057	12	0	25	1	0	0	0	0	37
ENSG00000189058	202	28441	0	5140	1	1	30	0	0
ENSG00000189060	598	90	456	2833	1350	30	776	0	1358
ENSG00000189064	0	0	0	0	0	0	0	0	0
ENSG00000189067	4202	320	3258	1167	25474	41	1122	33	59
ENSG00000189068	38	0	420	0	0	0	0	1	0
ENSG00000189077	85	0	117	7	0	0	1337	489	0
ENSG00000189079	199	2	61	170	3670	0	20	876	620
ENSG00000189089	0	0	0	0	0	0	0	0	0
ENSG00000189090	0	0	0	0	0	0	0	0	0
ENSG00000189091	971.99	2153.01	514.8	885.02	1	0	919.37	930.05	8.9
ENSG00000189099	0	0	0	0	0	0	0	0	0
ENSG00000189108	0	0	0	0	0	0	0	0	0
ENSG00000189114	48	0	6	0	0	1	0	0	0
ENSG00000189120	0	0	0	0	0	0	0	0	0
ENSG00000189127	0	0	0	0	0	0	0	0	0
ENSG00000189129	0	562	0	0	0	0	0	0	0
ENSG00000189132	0	0	0	0	0	0	0	0	0
ENSG00000189134	4	0	0	0	0	0	0	0	0
ENSG00000189136	2	0	5.25	50.04	0	0	2	0	7.96
ENSG00000189139	0	0	0	0	0	0	0	0	0
ENSG00000189143	0	0	280	746	0	6191	9909	4464	3953
ENSG00000189144	7	0	3	0	0	0	0	0	0
ENSG00000189145	0	0	0	0	0	0	0	0	0
ENSG00000189149	3.85	0	9.42	5.14	71.22	0	0	0	2.11
ENSG00000189152	59	0	4	5	0	0	0	0	0
ENSG00000189157	26.02	0	16.21	35.37	0	0	0	0	189.86
ENSG00000189159	384	0	142	218	0	198	536	0	4
ENSG00000189164	5.99	3.92	11.79	13.59	1.01	0	0	0	7.29
ENSG00000189166	0	0	0	0	0	0	0	0	0
ENSG00000189167	0	0	0	0	0	0	0	0	0
ENSG00000189169	0	0	0	0	0	0	0	0	0
ENSG00000189171	87	47	4	214	0	0	0	0	0
ENSG00000189180	205	0	7	98	0	0	0	0	321
ENSG00000189181	0	0	0	0	0	0	0	0	0
ENSG00000189182	0	0	0	0	0	0	0	0	0
ENSG00000189184	13	1010	2	1980	0	0	0	0	0
ENSG00000189186	0	0	0	0	0	0	0	0	0
ENSG00000189190	0	0	19	48.1	550.75	0	1	0	0
ENSG00000189195	0	0	2	1	0	0	2	0	0
ENSG00000189196	0	0	0	0	0	0	0	0	0
ENSG00000189212	0	0	0	0	0	2	7	0	0
ENSG00000189221	98	0	24	8	0	0	2634	0	3307
ENSG00000189223	51	46	121	266	0	0	7	0	0
ENSG00000189227	6	91	45	6	0	0	0	0	1
ENSG00000189229	0	0	0	0	0	0	4.54	0	0
ENSG00000189233	0	15.19	0	7.26	0	0	2.6	0	4.03
ENSG00000189238	0	0	0	0	0	0	0	0	0
ENSG00000189241	543.66	19.87	381.03	379.27	7.64	0	331.84	33.61	4.64
ENSG00000189252	0	0	0	0	0	0	0	0	0
